2012-10-20 17:02:12 Debug: Something did not work
2012-10-20 17:03:16 Debug: Something did not work
2012-10-20 17:03:57 Debug: 
2012-10-20 21:20:12 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:20:47 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:20:54 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:20:59 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:21:09 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:21:32 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:21:43 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:22:17 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:23:00 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:23:25 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:23:37 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:25:06 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:25:12 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:25:35 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:25:40 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:25:45 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:25:50 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:26:10 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:26:11 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:26:11 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:26:59 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:27:08 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:28:17 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:29:59 Notice: Notice (8): Use of undefined constant APP_LINK - assumed 'APP_LINK' in [/home/appslanz/public_html/supermama/app/models/facebook_m.php, line 31]
2012-10-20 21:30:08 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/appslanz/public_html/supermama/app/controllers/fotos_controller.php, line 181]
2012-10-20 21:30:09 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:32:41 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:35:38 Notice: Notice (8): Use of undefined constant APP_LINK - assumed 'APP_LINK' in [/home/appslanz/public_html/supermama/app/models/facebook_m.php, line 31]
2012-10-20 21:35:46 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/appslanz/public_html/supermama/app/controllers/fotos_controller.php, line 181]
2012-10-20 21:35:47 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:43:50 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:45:30 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:45:40 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:46:03 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 21:46:27 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:46:33 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:46:43 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:46:52 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:48:03 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:48:12 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:48:18 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:48:26 Notice: Notice (8): Undefined index: count in [/home/appslanz/public_html/supermama/app/views/fotos/albums.ctp, line 54]
2012-10-20 21:48:26 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 21:52:11 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:03:33 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:03:38 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:03:42 Notice: Notice (8): Undefined index: count in [/home/appslanz/public_html/supermama/app/views/fotos/albums.ctp, line 54]
2012-10-20 22:03:42 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:05:14 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:05:17 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
